name,code
灵寿县,130126
青县,130922
金川区,620301
蠡县,130635
静乐县,142228
忻府区,142201
河间市,130984
定州市,130682
定襄县,142222
黄骅市,130983
岚县,142329
博野县,130637
安国市,130683
肃宁县,130926
沧县,130921
盂县,140322
新乐市,130184
永宁县,640121
阳曲县,140122
叶城县,653126
沧州市,130901
塔什库尔干塔吉克自治县,653131
献县,130929
饶阳县,131124
安平县,131125
正定县,130123
泽普县,653124
藁城市,130182
刚察县,632224
深泽县,130128
无极县,130130
海兴县,130924
鹿泉市,130185
青铜峡市,640381
横山县,612724
孟村回族自治县,130930
娄烦县,140123
泊头市,130981
武威市,622301
深州市,131182
南皮县,130927
古交市,140181
方山县,142330
晋州市,130183
武强县,131123
井陉矿区,130101
河口区,370503
吴忠市,640301
辛集市,130181
盐山县,130925
平定县,140321
寿阳县,142427
米脂县,612728
阳泉市,140301
太原市,140101
东光县,130923
靖边县,612725
阜城县,131128
栾城县,130124
庆云县,371423
武邑县,131122
长岛县,370634
古浪县,622323
元氏县,130132
交城县,142323
利津县,370522
赵县,130133
门源回族自治县,632221
榆次区,142401
景县,131127
乐陵市,371481
宁津县,371422
蓬莱市,370684
桃城区,131101
子洲县,612732
宁晋县,130528
格尔木市,632801
吴桥县,130928
中宁县,640322
清徐县,140121
垦利县,370521
赞皇县,130129
龙口市,370681
绥德县,612727
离石市,142302
冀州市,131181
昔阳县,142424
阳信县,372323
高邑县,130127
天祝藏族自治县,622326
枣强县,131121
海晏县,632223
柏乡县,130524
陵县,371421
滨城区,372301
文水县,142322
和顺县,142423
临城县,130522
新河县,130530
德城区,371401
惠民县,372321
环翠区,371001
太谷县,142429
隆尧县,130525
招远市,370685
栖霞市,370686
故城县,131126
商河县,370126
临邑县,371424
东营区,370501
子长县,610623
汾阳市,142303
中阳县,142332
祁县,142430
莱州市,370683
文登市,371081
南宫市,130581
内丘县,130523
都兰县,632822
巨鹿县,130529
荣成市,371082
大通回族土族自治县,630121
吴旗县,610626
榆社县,142421
博兴县,372328
武城县,371428
邢台县,130521
平原县,371426
平遥县,142431
广饶县,370523
安塞县,610624
寿光市,370783
孝义市,142301
高青县,370322
乌兰县,632821
广宗县,130531
威县,130533
任县,130526
左权县,142422
靖远县,620421
济阳县,370125
禹城市,371482
介休市,142402
交口县,142333
志丹县,610625
清河县,130534
海阳市,370687
莱阳市,370682
夏津县,371427
潍坊市,370701
平乡县,130532
互助土族自治县,632126
莱西市,370285
乳山市,371083
共和县,632521
邹平县,372330
昌邑市,370786
武乡县,140429
邢台市,130501
南和县,130527
桓台县,370321
章丘市,370181
平度市,370283
沙河市,130582
宝塔区,610601
齐河县,371425
永登县,620121
高唐县,371526
沁源县,140431
武安市,130481
湟中县,632124
白银区,620402
沁县,140430
鸡泽县,130431
曲周县,130435
邱县,130430
青州市,370781
临西县,130535
永年县,130429
隰县,142635
临清市,371581
涉县,130426
黎城县,140426
湟源县,632125
华池县,622823
乐都县,632123
皋兰县,620122
汾西县,142636
白银市,620401
馆陶县,130433
昌乐县,370725
茌平县,371523
西宁市,630101
襄垣县,140423
邯郸县,130421
东昌府区,371501
长清县,370123
冠县,371525
高密市,370785
肥乡县,130428
邯郸市,130401
安丘市,370784
蒲县,142632
甘泉县,610627
固原市,642221
临朐县,370724
广平县,130432
古县,142627
峰峰矿区,130406
平安县,632121
洪洞县,142625
莱芜市,371201
东阿县,371524
屯留县,140424
成安县,130424
安泽县,142628
胶州市,370281
大名县,130425
潞城市,140481
班戈县,542428
兰州市,620101
泰安市,370901
平顺县,140425
会宁县,620422
合水县,622824
榆中县,620123
长治市,140401
民和回族土族自治县,632122
魏县,130434
尼玛县,542430
沂源县,370323
莘县,371522
临漳县,130423
平阴县,370124
林州市,410581
富县,610628
安阳县,410522
诸城市,370782
尧都区,142601
肥城市,370983
阳谷县,371521
彭阳县,642226
庆城县,622821
治多县,632724
镇原县,622827
长子县,140428
西吉县,642223
壶关县,140427
南乐县,410923
永靖县,622923
沂水县,371323
长治县,140421
安阳市,410501
兴海县,632524
胶南市,370284
内黄县,410527
贵南县,632525
浮山县,142629
新泰市,370982
台前县,410927
清丰县,410922
洛川县,610629
沁水县,140521
襄汾县,142623
定西县,622421
鹤壁市,410601
黄龙县,610631
莒县,371122
蒙阴县,371328
汤阴县,410523
高平市,140581
梁山县,370832
五莲县,371121
宁阳县,370921
临洮县,622427
范县,410926
东乡族自治县,622926
陵川县,140524
循化撒拉族自治县,632128
宁县,622826
郓城县,372928
翼城县,142622
积石山保安族东乡族撒拉族自治县,622927
曲沃县,142621
庆阳市,622801
浚县,410621
辉县市,410782
濮阳市,410901
黄陵县,610632
新绛县,142726
稷山县,142727
曲阜市,370881
临夏县,622921
濮阳县,410928
泗水县,370831
隆德县,642224
沂南县,371321
静宁县,622727
鄄城县,372929
同仁县,632321
平凉市,622701
平邑县,371326
兖州市,370882
改则县,542526
侯马市,142602
滑县,410526
阳城县,140522
临夏市,622901
曲麻莱县,632726
同德县,632522
绛县,142731
嘉祥县,370829
广河县,622924
泾源县,642225
玛多县,632626
正宁县,622825
东港区,371101
宜君县,610222
闻喜县,142729
费县,371325
旬邑县,610429
万荣县,142725
和政县,622925
泾川县,622722
邹城市,370883
修武县,410821
通渭县,622424
泽库县,632323
巨野县,372926
牡丹区,372901
延津县,410726
日土县,542524
庄浪县,622726
康乐县,622922
白水县,610527
澄城县,610525
新乡市,410701
合阳县,610524
东明县,372930
渭源县,622426
崇信县,622724
陇西县,622425
莒南县,371327
长垣县,410728
华亭县,622725
盐湖区,142701
博爱县,410822
焦作市,410801
临沂市,371301
获嘉县,410724
微山县,370826
临猗县,142724
长武县,610428
沁阳市,410882
滕州市,370481
彬县,610427
济源市,410881
玛沁县,632621
定陶县,372923
灵台县,622723
金乡县,370828
秦安县,620522
武陟县,410823
张家川回族自治县,620525
鱼台县,370827
蒲城县,610526
成武县,372924
卓尼县,623022
赣榆县,320721
富平县,610528
临沭县,371329
陇县,610327
临潭县,623021
永济市,142702
曹县,372922
甘谷县,620523
温县,410825
孟州市,410883
淳化县,610430
大荔县,610523
兰考县,410225
荥阳市,410182
中牟县,410122
麟游县,610329
郑州市,410101
清水县,620521
永寿县,610426
孟津县,410322
漳县,622428
千阳县,610328
单县,372925
武山县,620524
沛县,320322
丰县,320321
郯城县,371322
民权县,411421
巩义市,410181
芮城县,142723
三原县,610422
礼泉县,610425
三门峡市,411201
义马市,411281
碌曲县,623026
临渭区,610501
偃师市,410381
东海县,320722
称多县,632723
连云港市,320701
凤翔县,610322
杞县,410221
泾阳县,610423
洛阳市,410301
岷县,622429
宝鸡县,610321
灵宝市,411282
宜阳县,410327
邳州市,320382
华阴市,610582
新密市,410183
砀山县,341321
新郑市,410184
灌云县,320723
潼关县,610522
宁陵县,411423
虞城县,411425
洛宁县,410328
岐山县,610323
尉氏县,410223
华县,610521
登封市,410185
铜山县,320323
通许县,410222
睢县,411422
伊川县,410329
礼县,622628
萧县,341322
新沂市,320381
兴平市,610481
洛南县,612522
夏邑县,411426
宝鸡市,610301
沭阳县,321322
甘德县,632623
禹州市,411081
卢氏县,411224
滨海县,320922
宕昌县,622623
汝阳县,410326
徐州市,320301
嵩县,410325
汝州市,410482
扶沟县,412721
蓝田县,610122
长葛市,411082
迭部县,623024
眉县,610326
凤县,610330
永城市,411481
太康县,412724
柘城县,411424
户县,610125
两当县,622629
鄢陵县,411024
周至县,610124
西和县,622627
达日县,632624
商州区,612501
栾川县,410324
郏县,410425
太白县,610331
许昌县,411023
徽县,622630
睢宁县,320324
淮北市,340601
许昌市,411001
鹿邑县,412725
涟水县,320826
谯城区,341281
灵璧县,341323
宝丰县,410421
濉溪县,340621
襄城县,411025
舟曲县,623023
石渠县,513332
成县,622624
鲁山县,410423
泗阳县,321323
临颍县,411122
西华县,412722
丹凤县,612523
淮阳县,412727
阜宁县,320923
柞水县,612527
淮阴县,320821
留坝县,610729
宁陕县,612424
平顶山市,410401
杂多县,632722
郸城县,412726
涡阳县,341223
西峡县,411323
泗县,341324
玉树县,632721
叶县,410422
淮安市,320882
郾城县,411123
商南县,612524
革吉县,542525
佛坪县,610730
商水县,412723
南召县,411321
舞阳县,411121
九寨沟县,513225
洋县,610723
山阳县,612525
武都县,622621
镇安县,612526
周口市,412701
城固县,610722
康县,622625
勉县,610725
淮阴市,320801
略阳县,610727
方城县,411322
漯河市,411101
内乡县,411325
太和县,341222
沈丘县,412728
西平县,412824
界首市,341282
项城市,412702
固镇县,340323
蒙城县,341224
上蔡县,412825
舞钢市,410481
宝应县,321023
洪泽县,320829
利辛县,341227
淅川县,411326
汉台区,610701
镇平县,411324
石泉县,612423
文县,622626
安多县,542425
红原县,513233
班玛县,632622
怀远县,340321
遂平县,412823
汉滨区,612401
郧县,420321
噶尔县,542523
西乡县,610724
兴化市,321281
金湖县,320831
宁强县,610726
汝南县,412826
平舆县,412827
泌阳县,412822
社旗县,411327
临泉县,341221
汉阴县,612422
松潘县,513224
南郑县,610721
高邮市,321084
色达县,513333
平武县,510727
蚌埠市,340301
凤台县,340421
邓州市,411381
新蔡县,412828
天长市,341181
淮南市,340401
青川县,510822
唐河县,411328
阜南县,341225
甘孜县,513328
镇巴县,610728
新野县,411329
紫阳县,612425
正阳县,412829
江都市,321088
聂荣县,542424
来安县,341122
南江县,513722
囊谦县,632725
德格县,513330
姜堰市,321284
桐柏县,411330
海安县,320621
札达县,542522
定远县,341125
壤塘县,513230
旺苍县,510821
巴青县,542429
息县,411528
寿县,342422
淮滨县,411527
平利县,612427
竹山县,420323
长丰县,340121
黑水县,513228
仪征市,321081
滁州市,341101
泰州市,321201
通江县,513721
岚皋县,612426
房县,420325
固始县,411525
谷城县,420625
如皋市,320682
竹溪县,420324
襄阳县,420621
枣阳市,420683
马尔康县,513229
泰兴市,321283
潢川县,411526
丁青县,542125
江油市,510781
罗山县,411521
剑阁县,510823
肥东县,340122
茂县,513223
通州市,320683
全椒县,341124
镇坪县,612428
句容市,321183
北川县,510726
城口县,500229
光山县,411522
襄樊市,420601
苍溪县,510824
靖江市,321282
丹阳市,321181
江宁县,320121
保康县,420626
海门市,320684
启东市,320681
商城县,411524
比如县,542423
南通市,320601
巴州区,513701
和县,342626
张家港市,320582
南漳县,420624
肥西县,340123
居巢区,342601
索县,542427
江阴市,320281
金川县,513226
合肥市,340101
类乌齐县,542124
那曲县,542421
理县,513222
梓潼县,510725
宜城市,420684
含山县,342625
金坛市,320482
申扎县,542426
平昌县,513723
神农架林区,429021
炉霍县,513327
大悟县,420922
阆中市,511381
常熟市,320581
新县,411523
宣汉县,513022
金寨县,342426
溧水县,320124
马鞍山市,340501
安县,510724
锡山市,320283
巫溪县,500238
太仓市,320585
汶川县,513221
小金县,513227
绵竹市,510683
开县,500234
当涂县,340521
溧阳市,320481
白玉县,513331
仪陇县,511324
无锡市,320201
什邡市,510682
宜兴市,320282
钟祥市,420881
南部县,511321
麻城市,421181
红安县,421122
兴山县,420526
庐江县,342622
舒城县,342425
达县,513021
霍山县,342427
昆山市,320583
新龙县,513329
道孚县,513326
无为县,342623
高淳县,320125
盐亭县,510723
巫山县,500237
芜湖市,340201
宜昌县,420521
安陆市,420982
京山县,420821
彭州市,510182
三台县,510722
云阳县,500235
边坝县,542133
芜湖县,340221
营山县,511322
巴东县,422823
丹巴县,513323
奉节县,500236
远安县,420525
都江堰市,510181
宣州区,342501
郎溪县,342522
繁昌县,340222
嘉黎县,542422
通川区,513001
中江县,510623
蓬安县,511323
罗田县,421123
桐城市,340881
渠县,513030
西充县,511325
开江县,513023
贡觉县,542123
吴江市,320584
云梦县,420923
普兰县,542521
广德县,342523
秭归县,420527
当阳市,420582
岳西县,340828
洛隆县,542132
长兴县,330522
南陵县,340223
南汇县,310225
射洪县,510922
察雅县,542126
英山县,421124
应城市,420981
广汉市,510681
铜陵县,340721
枞阳县,340823
潜山县,340824
当雄县,540122
嘉善县,330421
昂仁县,542327
奉贤县,310226
八宿县,542127
大竹县,513029
新都县,510125
湖州市,330501
郫县,510124
铜陵市,340701
金堂县,510121
宝兴县,513128
天门市,429006
建始县,422822
梁平县,500228
崇州市,510184
安吉县,330523
汉川市,420984
平湖市,330482
泾县,342529
青阳县,342923
广安区,511601
怀宁县,340822
大邑县,510129
浠水县,421125
桐乡市,330483
贵池区,342901
芦山县,513127
岳池县,511621
宁国市,342502
宜昌市,420501
长阳土家族自治县,420528
康定县,513321
太湖县,340825
安庆市,340801
理塘县,513334
德清县,330521
恩施市,422801
蕲春县,421126
双流县,510122
枝江市,420583
波密县,542625
市中区,370802
潜江市,429005
利川市,422802
简阳市,513902
海盐县,330424
巴塘县,513335
乐至县,513922
工布江达县,542622
宜都市,420581
海宁市,330481
余杭市,330184
邛崃市,510183
仙桃市,429004
邻水县,511623
雅江县,513325
新津县,510132
黄山市,341001
垫江县,500231
林周县,540121
东至县,342921
旌德县,342530
临安市,330185
潼南县,500223
谢通门县,542328
宿松县,340826
望江县,340827
五峰土家族自治县,420529
石台县,342922
萧山市,330181
杭州市,330101
合川市,500382
彭山县,513823
天全县,513126
绩溪县,342531
蒲江县,510131
大冶市,420281
墨竹工卡县,540127
慈溪市,330282
公安县,421022
黄梅县,421127
南木林县,542322
安岳县,513921
雁江区,513901
嘉鱼县,421221
丰都县,500230
名山县,513122
余姚市,330281
林芝县,542621
雨城区,513101
鹤峰县,422828
宣恩县,422825
长寿区,500221
武穴市,421182
洪湖市,421083
富阳市,330183
黟县,341023
监利县,421023
上虞市,330682
绍兴县,330621
阳新县,420222
堆龙德庆县,540125
丹棱县,513825
石门县,430726
祁门县,341024
歙县,341021
桐庐县,330122
泸定县,513322
铜梁县,500224
彭泽县,360430
越城区,330601
咸丰县,422826
资中县,511025
咸安区,421201
淳安县,330127
休宁县,341022
达孜县,540126
涪陵区,500102
萨嘠县,542337
洪雅县,513824
赤壁市,421281
尼木县,540123
澧县,430723
石首市,421081
荥经县,513123
浮梁县,360222
夹江县,511126
青神县,513826
璧山县,500227
井研县,511124
黔江区,500239
墨脱县,542624
湖口县,360429
九江县,360421
大足县,500225
瑞昌市,360481
临湘市,430682
通山县,421224
彭水苗族土家族自治县,500243
嵊州市,330683
桑日县,542224
米林县,542623
临澧县,430724
华容县,430623
城关区,540101
桑植县,430822
奉化市,330283
建德市,330182
津市市,430781
汉源县,513124
加查县,542229
峨眉山市,511181
波阳县,362330
慈利县,430821
荣昌县,500226
稻城县,513337
崇阳县,421223
武隆县,500232
来凤县,422827
乡城县,513336
日喀则市,542301
象山县,330225
岳阳市,430601
岳阳县,430621
荣县,510321
龙山县,433130
都昌县,360428
曲水县,540124
拉孜县,542326
乃东县,542221
扎囊县,542222
婺源县,362334
武宁县,360423
永川市,500383
新昌县,330624
义乌市,330782
德安县,360426
星子县,360427
隆昌县,511028
石棉县,513125
双桥区,500111
贡嘎县,542223
宁海县,330226
仁布县,542330
南川市,500384
开化县,330824
东阳市,330783
富顺县,510322
江津市,500381
犍为县,511123
兰溪市,330781
金口河区,511113
永顺县,433127
张家界市,430801
酉阳土家族苗族自治县,500242
桃源县,430725
通城县,421222
常德市,430701
修水县,360424
永修县,360425
九龙县,513324
天台县,331023
衢县,330821
峨边彝族自治县,511132
泸县,510521
吉隆县,542335
磐安县,330727
金华县,330721
浪卡子县,542233
甘洛县,513435
白朗县,542329
德兴市,362302
龙游县,330825
曲松县,542226
宜宾县,511521
沐川县,511129
德钦县,533422
婺城区,330701
江孜县,542323
常山县,330822
道真仡佬族苗族自治县,520325
琼结县,542225
綦江县,500222
沅江市,430981
三门县,331022
木里藏族自治县,513422
汉寿县,430722
万盛区,500110
靖安县,362232
平江县,430626
永康市,330784
务川仡佬族苗族自治县,520326
马边彝族自治县,511133
临海市,331082
南溪县,511522
余干县,362329
武义县,330723
柯城区,330801
冕宁县,513433
怀来县,130730
涿鹿县,130731
宣化区,130705
井陉县,130121
磁县,130427
新乡县,410721
原阳县,410725
驻马店市,412801
确山县,412821
信阳市,411501
商丘市,411401
南阳市,411301
即墨市,370282
青岛市,370201
苍山县,371324
枣庄市,370401
济南市,370101
淄博市,370301
沾化县,372325
烟台市,370601
建湖县,320925
射阳县,320924
如东县,320623
东台市,320981
大丰市,320982
宿迁市,321301
诸暨市,330681
浦江县,330726
六安市,342401
阜阳市,341201
丹江口市,420381
老河口市,420682
孝南区,420901
孝昌县,420921
黄州区,421101
团凤县,421121
武汉市,420101
松滋市,421087
江陵县,421024
东宝区,420801
沙洋县,420822
乐平市,360281
上栗县,360322
芦溪县,360323
新竹市,710301
宜兰县,710002
台北县,710001
嘉义市,710501
嘉义县,710011
晋江市,350582
临高县,460028
澄迈县,460027
文昌市,460005
琼海市,460002
万宁市,460006
三亚市,460201
昌江黎族自治县,460031
石狮市,350581
大安市,220882
通榆县,220822
延吉市,222401
开原市,211282
抚顺县,210421
宿豫县,321321
扬中市,321182
银川市,640101
雷波县,513437
万源市,513002
瑞丽市,533102
昆明市,530101
左贡县,542128
江达县,542122
昌都县,542121
措勤县,542527
朝阳市,211301
朝阳县,211321
灵石县,142433
盐都县,320928
新建县,360122
吉安县,362421
武胜县,511622
和静县,652827
阿瓦提县,652928
阿克苏市,652901
察布查尔锡伯自治县,654122
昭苏县,654126
博乐市,652701
托里县,654224
马关县,532625
麻栗坡县,532624
苗栗县,710005
新竹县,710004
中方县,431221
无棣县,372324
海伦市,232304
盐城市,320901
吉州区,362401
霍州市,142603
台南市,710601
晋城市,140501
塘沽区,120107
大港区,120109
西青区,120111
津南区,120112
天津市区,120100
东丽区,120110
金山区,310116
嘉定区,310114
浦东新区,310115
宝山区,310113
闵行区,310112
上海市,310100
青浦区,310101
松江区,310117
梅列区,350402
三元区,350403
鲤城区,350502
丰泽区,350503
洛江区,350504
同安区,350212
思明区,350203
开元区,350204
湖里区,350206
杏林区,350205
集美区,350211
龙文区,350603
芗城区,350602
浔阳区,360403
庐山区,360402
珠山区,360203
昌江区,360202
安源区,360302
湘东区,360313
金州区,210213
旅顺口区,210212
甘井子区,210211
汨罗市,430681
合江县,510522
安义县,360123
沅陵县,431222
翠屏区,511501
仙居县,331024
玉山县,362323
南昌县,360121
措美县,542227
缙云县,332526
江安县,511523
得荣县,513338
保靖县,433125
万年县,362331
江山市,330881
桐梓县,520322
越西县,513434
秀山土家族苗族自治县,500241
奉新县,362226
正安县,520324
康马县,542331
屏山县,511529
香格里拉县,533421
上饶县,362321
习水县,520330
铜鼓县,362233
美姑县,513436
遂昌县,332527
长宁县,511524
弋阳县,362326
古丈县,433126
进贤县,360124
赤水市,520381
高县,511525
横峰县,362325
莲都区,332501
宜丰县,362229
桃江县,430922
绥江县,532127
长沙县,430121
水富县,532131
高安市,362222
安化县,430923
德江县,522227
贵溪市,360681
花垣县,433124
广丰县,362322
余江县,360622
永嘉县,330324
松阳县,332528
浏阳市,430181
洛扎县,542228
望城县,430122
乐清市,330323
温岭市,331081
叙永县,510524
喜德县,513432
永善县,532126
珙县,511526
东乡县,362531
绥阳县,520323
宁乡县,430124
信州区,362301
青田县,332522
吉首市,433101
兴文县,511528
万载县,362227
错那县,542232
上高县,362228
丰城市,362202
盐津县,532124
铅山县,362324
贡山独龙族怒族自治县,533324
昭觉县,513431
凤冈县,520327
印江土家族苗族自治县,522226
古蔺县,510525
龙泉市,332502
亚东县,542334
凤凰县,433123
浦城县,350722
月湖区,360601
溆浦县,431224
云和县,332523
长沙市,430101
盐源县,513423
临川区,362502
大关县,532125
筠连县,511527
新化县,432524
湄潭县,520328
西昌市,513401
景宁畲族自治县,332529
温州市,330301
仁怀市,520382
樟树市,362203
思南县,522225
分宜县,360521
瓯海县,330304
金溪县,362528
威信县,532130
渝水区,360501
武夷山市,350782
袁州区,362201
湘潭县,430321
遵义县,520321
湘乡市,430381
涟源市,432503
韶山市,430382
麻阳苗族自治县,431226
株洲市,430201
湘潭市,430301
维西傈僳族自治县,533423
光泽县,350723
瑞安市,330381
文成县,330328
娄底市,432501
醴陵市,430281
新干县,362424
金阳县,513430
江口县,522222
彝良县,532129
崇仁县,362525
布拖县,513429
宁蒗彝族自治县,533224
资溪县,362529
株洲县,430221
铜仁市,522201
洞头县,330322
庆元县,332525
松溪县,350724
普格县,513428
泰顺县,330329
镇雄县,532128
冷水江市,432502
红花岗区,520301
南城县,362522
毕节市,522401
平阳县,330326
峡江县,362423
丽江纳西族自治县,533221
金沙县,522424
乐安县,362526
建阳市,350784
双峰县,432522
石阡县,522224
宜黄县,362527
余庆县,520329
寿宁县,352229
隆回县,430524
昭通市,532101
芷江侗族自治县,431228
新邵县,430522
万山特区,522230
安福县,362429
大方县,522422
苍南县,330327
邵武市,350781
德昌县,513424
黎川县,362523
吉水县,362422
永丰县,362425
岑巩县,522626
鲁甸县,532122
玉屏侗族自治县,522223
政和县,350725
福贡县,533323
瓮安县,522725
莲花县,360321
赫章县,522428
邵东县,430521
新晃侗族自治县,431227
威宁彝族回族苗族自治县,522427
衡东县,430424
攸县,430223
福鼎市,352203
巧家县,532123
福安市,352202
洞口县,430525
衡阳县,430421
镇远县,522625
开阳县,520121
南丰县,362524
盐边县,510422
黔西县,522423
建瓯市,350783
息烽县,520122
施秉县,522623
柘荣县,352231
周宁县,352230
邵阳市,430501
宁南县,513427
邵阳县,430523
米易县,510421
黄平县,522622
永新县,362430
修文县,520123
顺昌县,350721
屏南县,352228
天柱县,522627
会同县,431225
宁都县,360730
绥宁县,430527
泰宁县,350429
